genre_id,genre_name
1,Afrobeats
2,Alternative
3,Ambient
4,Blues
5,Bossa Nova
6,Chillwave
7,Classical
8,Country
9,Dancehall
10,Disco
11,Drum and Bass
12,Dubstep
13,EDM
14,Electronic
15,Folk
16,Funk
17,Gospel
18,Grime
19,Hardcore
20,Heavy Metal
21,Hip Hop
22,House
23,Indie
24,Instrumental
25,J-Pop
26,Jazz
27,K-Pop
28,Latin
29,Lo-fi
30,Merengue
31,Metal
32,New Age
33,Opera
34,Pop
35,Post-rock
36,Punk
37,R&B
38,Rap
39,Reggae
40,Rock
41,Salsa
42,Shoegaze
43,Ska
44,Soul
45,Synth-pop
46,Tango
47,Techno
48,Trance
49,Trap
50,World
